case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-00078,OFF-00021,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Uttara Kannada,Sirsi town,Weekday mornings,Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; weekday mornings,2025-08-18,Linked to known offender record,46-55,F,2,Repeat,Alternates between two known methods
CASE-01916,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Udupi,Malpe Road area,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; early morning (4-7 am),2024-05-26,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00373,OFF-00120,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Mandya,Vidyanagar,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; midday (12-3 pm)",2023-01-27,Linked to known offender record,26-35,M,4,Repeat,Alternates between two known methods
CASE-01411,OFF-00431,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bagalkot,Old Bagalkot,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2023-03-24,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-00967,OFF-00300,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Bagalkot,Navanagar,Weekend nights,"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; weekend nights",2025-06-11,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-00303,OFF-00093,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mangaluru (Dakshina Kannada),Bejai,Early morning (4-7 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-04-23,Linked to known offender record,26-35,M,1,First recorded instance,Alternates between two known methods
CASE-01194,OFF-00361,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Bidar,Chidri,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; midday (12-3 pm),2024-10-06,Linked to known offender record,46-55,F,3,Repeat,Alternates between two known methods
CASE-00298,OFF-00092,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Yadgir,Bus Stand area,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2023-07-27,Linked to known offender record,56+,M,5,Repeat,Long gap then resurgence with same MO
CASE-01942,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Vijayapura,Athani Road area,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2023-09-04,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00786,OFF-00245,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Chitradurga,College Road area,Weekend nights,Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; weekend nights,2025-02-02,Linked to known offender record,56+,F,3,Repeat,Single recorded case - insufficient pattern history
CASE-00009,OFF-00005,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Udupi,Manipal,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; midday (12-3 pm),2025-10-22,Linked to known offender record,56+,M,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-00604,OFF-00188,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Hassan,Race Course Road area,Evening rush (6-8 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2024-05-08,Linked to known offender record,18-25,M,6,Repeat,Alternates between two known methods
CASE-00857,OFF-00271,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Gadag,Station Road area,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; early morning (4-7 am),2023-08-04,Linked to known offender record,46-55,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-00267,OFF-00079,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Mysuru,Vijayanagar,Evening rush (6-8 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; evening rush (6-8 pm),2023-03-23,Linked to known offender record,18-25,F,3,Repeat,Single recorded case - insufficient pattern history
CASE-00343,OFF-00110,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Mangaluru (Dakshina Kannada),Hampankatta,Midday (12-3 PM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; midday (12-3 pm),2023-03-07,Linked to known offender record,26-35,F,1,First recorded instance,Long gap then resurgence with same MO
CASE-01813,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Raichur,Old Town,Weekend nights,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; weekend nights",2025-01-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00245,OFF-00072,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kodagu,Virajpet town,Evening rush (6-8 PM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; evening rush (6-8 pm)",2025-02-18,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-00793,OFF-00246,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Kolar,Bangarpet Road area,Midday (12-3 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; midday (12-3 pm),2024-09-06,Linked to known offender record,26-35,M,6,Repeat,Consistent MO across all recorded cases
CASE-01205,OFF-00364,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Ramanagara,Town Centre,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2025-11-03,Linked to known offender record,56+,F,5,Repeat,Escalating frequency over last 6 months
CASE-00198,OFF-00058,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Ballari,Gandhinagar,Late night (11 PM-2 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; late night (11 pm-2 am),2024-12-21,Linked to known offender record,18-25,M,2,Repeat,Escalating frequency over last 6 months
CASE-00381,OFF-00122,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Yadgir,Station Road area,Evening rush (6-8 PM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; evening rush (6-8 pm)",2025-09-02,Linked to known offender record,36-45,M,3,Repeat,Long gap then resurgence with same MO
CASE-00785,OFF-00244,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Kodagu,Gonikoppal town,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2023-01-15,Linked to known offender record,18-25,M,4,Repeat,Single recorded case - insufficient pattern history
CASE-01091,OFF-00332,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bengaluru Rural,Hoskote town,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2024-11-18,Linked to known offender record,46-55,M,5,Repeat,Escalating frequency over last 6 months
CASE-01379,OFF-00420,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Gadag,Station Road area,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; evening rush (6-8 pm),2024-10-01,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-00860,OFF-00271,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Chikkamagaluru,IG Road area,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; early morning (4-7 am),2024-04-18,Linked to known offender record,46-55,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-00128,OFF-00037,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Kalaburagi,Jewargi Road area,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; evening rush (6-8 pm)",2025-03-31,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-00820,OFF-00257,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Tumakuru,Kunigal Road area,Late night (11 PM-2 AM),SMS phishing link,SMS phishing link; target: First-time UPI user; late night (11 pm-2 am),2024-11-09,Linked to known offender record,26-35,F,6,Repeat,Alternates between two known methods
CASE-01989,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Mandya,Ashok Nagar,Weekday mornings,Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; weekday mornings,2025-07-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01244,OFF-00376,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Shivamogga,Gopala Extension,Weekend nights,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekend nights,2024-09-19,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-00740,OFF-00232,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Shivamogga,Gopala Extension,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2024-06-05,Linked to known offender record,36-45,F,6,Repeat,Long gap then resurgence with same MO
CASE-01308,OFF-00395,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Uttara Kannada,Sirsi town,Late night (11 PM-2 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; late night (11 pm-2 am),2024-04-09,Linked to known offender record,46-55,M,3,Repeat,Alternates between two known methods
CASE-01500,OFF-00455,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Mangaluru (Dakshina Kannada),Bejai,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; midday (12-3 pm),2024-01-29,Linked to known offender record,46-55,M,3,Repeat,Alternates between two known methods
CASE-00170,OFF-00049,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Chitradurga,Basaveshwara Nagar,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2023-03-31,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-00489,OFF-00155,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Tumakuru,Ashoknagar,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-08-06,Linked to known offender record,36-45,F,6,Repeat,Consistent MO across all recorded cases
CASE-00762,OFF-00237,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Ramanagara,Bengaluru-Mysuru Highway area,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2024-04-24,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-00769,OFF-00240,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Udupi,Kunjibettu,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Market crowd; evening rush (6-8 pm),2023-12-04,Linked to known offender record,26-35,F,3,Repeat,Long gap then resurgence with same MO
CASE-01291,OFF-00389,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Belagavi,Camp Area,Weekday mornings,Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; weekday mornings,2025-12-31,Linked to known offender record,46-55,M,3,Repeat,Escalating frequency over last 6 months
CASE-01774,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Udupi,Kunjibettu,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2023-03-15,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01238,OFF-00375,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Davanagere,Shamanur Road area,Weekday mornings,Window grille cutting,Window grille cutting; target: Vacant residence; weekday mornings,2024-09-14,Linked to known offender record,26-35,F,2,Repeat,Single recorded case - insufficient pattern history
CASE-00139,OFF-00040,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Kodagu,Gonikoppal town,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; evening rush (6-8 pm),2024-03-05,Linked to known offender record,56+,F,5,Repeat,Escalating frequency over last 6 months
CASE-00909,OFF-00286,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Chitradurga,Basaveshwara Nagar,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; late night (11 pm-2 am),2025-10-21,Linked to known offender record,36-45,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-00429,OFF-00138,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Koppal,Gangavathi Road area,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2024-12-26,Linked to known offender record,46-55,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-00209,OFF-00061,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Bagalkot,Old Bagalkot,Weekday mornings,SMS phishing link,SMS phishing link; target: First-time UPI user; weekday mornings,2024-09-13,Linked to known offender record,26-35,F,1,First recorded instance,Consistent MO across all recorded cases
CASE-00546,OFF-00173,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bagalkot,Navanagar,Late night (11 PM-2 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; late night (11 pm-2 am)",2023-02-28,Linked to known offender record,18-25,M,3,Repeat,Escalating frequency over last 6 months
CASE-01458,OFF-00444,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Tumakuru,SS Puram,Midday (12-3 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; midday (12-3 pm),2025-10-14,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-00433,OFF-00139,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Gadag,Station Road area,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2023-02-24,Linked to known offender record,36-45,F,2,Repeat,Consistent MO across all recorded cases
CASE-00911,OFF-00286,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Kolar,Old Bus Stand area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; late night (11 pm-2 am),2024-01-30,Linked to known offender record,36-45,F,5,Repeat,Single recorded case - insufficient pattern history
